RULE #,RULE NAME,TRIGGER / HOW IT IS DETECTED,BUSINESS UNIT,HEAD,TYPE FOR RERA IDW,TCP Head,REASON FOR ? (when ? appears)
,,,,,,,
RULE 1,Internal Transfer — Our Own Tracked Accounts,Description contains another DPL YES Bank account number (e.g. 00000264 / 00000377 / 00000490 / 00002477),This account's own BU,Internal,Depends on stage pair — see rows below,Internal transfer,
,,"  Stage Pair: Master ↔ Free",This account's own BU,Internal,Master to Free,Internal transfer,
,,"  Stage Pair: Master ↔ RERA",This account's own BU,Internal,Master 2 RERA,Internal transfer,
,,"  Stage Pair: Free ↔ IDW",This account's own BU,Internal,Free & IDW Loan,Internal transfer,
,,"  Stage Pair: Any ↔ Aravali Heights account",This account's own BU,Internal,Internal,Internal transfer,
,,"  Stage Pair: RERA ↔ IDW",This account's own BU,Internal,?,Internal transfer,"RERA<->IDW transfer — the accounts team's own reference data uses two different labels for this exact pair unpredictably, with no distinguishing signal in the description"
,,,,,,,
RULE 2,External DPL Account — Bank of Maharashtra,"Description contains BOM IFSC (MAHB0001461 or MAHB0001347) AND the word ""Dwarkadhis""",This account's own BU,Internal,Depends on account stage — see rows below,Depends on account stage — see rows below,
,,"  Account Stage: Master",This account's own BU,Internal,Master to Free,Internal transfer,
,,"  Account Stage: Free",This account's own BU,Internal,Internal,Internal transfer,
,,"  Account Stage: IDW",This account's own BU,Internal,?,?,"Transfer to DPL's own external account — historical data for IDW stage is contradictory (splits multiple ways with no distinguishing signal)"
,,"  Account Stage: Any other / unknown",This account's own BU,Internal,?,?,"Transfer to DPL's own external account — no historical data observed for this stage"
,,,,,,,
RULE 3,Salary Payment,"Description contains the word ""salary"" as a hyphen- or slash-separated segment",Depends on account stage — see rows below,Depends on account stage — see rows below,Depends on account stage — see rows below,Depends on account stage — see rows below,
,,"  Account Stage: IDW or AH-IDW (site salary)",This account's own BU,Salary Site,Dev- Apt,IDW Civil Works,
,,"  Account Stage: Free / Master / RERA / any other (HO salary)",HO,Salary HO,HO - Admin,Other- Administrative Expenses,
,,,,,,,
RULE 4,Cancellation,"Description contains a segment starting with ""cancellation"" (e.g. -Cancellation D6126- or -Cancellation D2025-)",This account's own BU,Cancellation,Cust Cancellation,?,"Not recorded in 2 years of historical data for Cancellation transactions — TCP Head was blank/absent in every observed case"
,,,,,,,
RULE 5,Role Keyword in Description,"Description contains a role segment: -Vendor- / -contractor- / -imprest- / /CONTRACTOR etc., OR description mentions a known professional firm (e.g. NARESH K JAIN)",Depends on role and account stage — see rows below,Role from description,Depends on account stage — see rows below,Depends on account stage — see rows below,
,,"  Role: Professional (any stage)",HO,Professional,HO - Admin,Other- Administrative Expenses,
,,"  Role: Vendor / Contractor / Imprest — Account Stage: Free",HO,Role from description,HO - Admin,Other- Administrative Expenses,
,,"  Role: Vendor / Contractor / Imprest — Account Stage: IDW or AH-IDW",This account's own BU,Role from description,Dev- Apt,IDW Civil Works,
,,"  Role: Vendor / Contractor / Imprest — Account Stage: Master / RERA / any other",This account's own BU,Role from description,?,?,"No historical data observed for this role + stage combination in 2 years of reference workbooks"
,,,,,,,
RULE 6,Incoming Customer Payment (Collection),"Transaction has a credit amount AND description starts with: UPI/ or NEFT CR- or IMPS/ or RTGS CR- or NET-TPT- or NET-",This account's own BU,Collection,Customer Collection,Credit- no effect,
,,,,,,,
RULE 7,No Rule Matched — Fallback,"None of Rules 1–6 triggered. System tries a keyword heuristic (heads.py) on the description as a last resort.",?,? (or keyword match if heuristic finds one),?,?,"Description format not recognized by any existing rule — add a new rule or classify this row manually"
,,,,,,,
REASON FOR ? — QUICK REFERENCE,,,,,,,
Reason Text,Meaning,,,,,,
description format not recognized by any existing rule,None of the 7 rules triggered — description format has never been seen before in reference data,,,,,,
this account has no Business Unit configured,The account's Business Unit is not set in the admin panel — fix this in the dashboard settings,,,,,,
"RERA<->IDW transfer — accounts team's own reference data uses two different labels","Genuinely ambiguous — even the accounts team's reference sheet contradicts itself for this pair",,,,,,
transfer to DPL's own external account — historical data is contradictory,"BOM transfer from IDW stage — 3 different labels observed across reference data, no distinguishing pattern",,,,,,
no historical data for ... payments from this account's stage,Rule matched a role keyword (e.g. Vendor) but no reference data exists for this specific account stage combination,,,,,,
not recorded in 2 years of historical data for Cancellation transactions,TCP Head for Cancellation rows was always blank in reference data — this is expected,,,,,,
Head: description format not recognized by any existing rule,Both the business-rules engine AND the keyword heuristic failed to identify any head for this transaction,,,,,,
,,,,,,,
VISUAL GUIDE — RED TEXT IN SHEET,,,,,,,
These 5 columns are colored RED when a row is auto-classified and still needs manual review by the accounts team: BUSINESS UNIT | HEAD | TYPE FOR RERA IDW | TCP Head | NARRATION,,,,,,,
"Once the accounts team verifies a row, they change the text color to BLACK to mark it as reviewed.",,,,,,,
